Country Name,Country Code,rural_pop_percent_17,food_production_index_17,ag_land_area_17,arable_land_percent_2017,net_migration_2017,hiv_prevalence_2017,mat_mortality_ratio_2017,under5_mortality_ratio_2017,tubercul_incidence_2017,elec_access_2017,ren_energy_percent_2017,ffuel_energy_percent_2017,co2_emissions_2017,pop_air_pollution_2017,foreign_dir_inv_2017,atm_access_2017,adol_fertility_rate_2017,fem_labor_part_rate_2017,male_labor_part_rate_2017,fertility_rate_2017,dpt_immuniz_rate_2017,undernourished_rate_2017,cell_subscriptions_per100,internet_per_mil_2017,military_exp_2017,women_seats_percent_2017,male_bus_start_2017,female_bus_start_2017,patent_apps_2017,sci_articles_2017,pop_density_2017,HDI
Eritrea,ERI,,101.370002746582,75.1683168316832,6.83168316831683,-199290.0,0.6,480.0,43.3,99.0,,75.37,,0.210964661841308,48.0301986806015,55468000.0,,52.553,72.9359970092773,87.1460037231445,4.112,95.0,,20.36395515,0.0,,22.0,84.0,84.0,,13.65,33.7910297029703,0.456
Spain,ESP,19.92,101.669998168945,52.6387138276281,24.529740774323,200000.0,0.4,4.0,3.3,11.0,19.92,15.71,,5.65425445459575,9.69792786284953,31565354023.7858,111.8,7.725,52.6310005187988,63.890998840332,1.31,95.0,2.5,112.5612499,7247.03903373442,1.23069077613875,39.1428571428571,13.0,13.0,2167.0,55432.15,93.2709101549633,0.905
Estonia,EST,31.283,99.5599975585938,23.0503795721187,15.7349896480331,19555.0,0.8,9.0,2.6,15.0,31.283,27.53,,12.68422804928,6.73212401545877,1735775304.25104,67.77,7.698,57.048999786377,71.3740005493164,1.59,93.0,2.5,144.3413244,29131.217625233,2.00773352126725,26.7326732673267,3.5,3.5,37.0,1559.0,30.3055900621118,0.889
Ethiopia,ETH,79.69,105.970001220703,33.2425085304287,14.1410456345114,150002.0,1.0,401.0,55.9,164.0,79.69,90.22,,0.148684311066384,38.9787377576037,4017159564.65434,,66.727,74.6389999389648,87.1709976196289,4.35,68.0,14.0,37.2180717,0.714286211063718,0.666369217322697,38.7568555758684,33.0,33.0,14.0,1657.99,94.21926014294,0.478
Finland,FIN,14.675,98.0100021362305,7.4690708081074,7.3769413003422,70000.0,,3.0,2.4,4.9,14.675,44.48,,7.81015415482472,5.86133100081928,17149122038.4331,32.47,5.813,55.1889991760254,62.7379989624023,1.49,89.0,2.5,129.9132285,22324.1144951885,1.35349860356831,42.0,17.0,17.0,1390.0,10768.81,18.1238944459068,0.937
Fiji,FJI,44.258,112.540000915527,23.2621784345922,9.0311986863711,-31008.0,0.2,34.0,25.5,51.0,44.258,28.55,,1.88042757066777,10.8401599042944,387602565.305446,52.65,49.353,38.2960014343262,76.2300033569336,2.788,99.0,6.3,117.8305767,149.294554737538,1.40484422392375,16.0,40.0,40.0,,135.47,48.0273672687466,0.742
France,FRA,19.82,101.370002746582,52.410066897145,33.7213605158915,182636.0,,8.0,4.3,9.0,19.82,14.12,,4.74954259812627,11.8149636162893,35868111746.0378,102.19,4.727,51.3050003051758,60.3740005493164,1.89,96.0,2.5,106.4394347,14819.4761291503,1.90864201234437,38.9948006932409,3.5,3.5,14415.0,70100.94,122.211970625889,0.898
"Micronesia, Fed. Sts.",FSM,77.392,101.050003051758,31.4285714285714,2.85714285714286,-2999.0,,88.0,27.0,156.0,77.392,1.41,,1.61491469798905,11.2833994444834,,13.19,13.924,,,3.098,73.0,,20.73767035,161.491463381811,,0.0,16.0,16.0,,6.58,159.23,0.618
Gabon,GAB,11.024,103.809997558594,8.54100205689448,1.26130321729344,16301.0,3.4,252.0,45.5,529.0,11.024,90.1,,2.58134877349902,44.3855484644179,1314029330.0,,96.227,39.7470016479492,56.9620018005371,4.008,75.0,16.0,128.9816609,28.0897243913732,1.81048953464601,17.0940170940171,33.0,33.0,,62.92,8.01339698063414,0.697
United Kingdom,GBR,16.857,102.199996948242,72.1950667548465,25.1431380977969,1303250.0,,7.0,4.4,8.8,16.857,9.7,,5.55565151375079,10.4726903888942,125358809934.121,127.94,13.37,57.7900009155273,68.25,1.74,94.0,2.5,118.5404012,21195.885324026,1.94632499636255,32.0,4.5,4.5,13301.0,99128.72,273.049472988054,0.928
Georgia,GEO,41.769,89.0599975585938,34.3186069938121,4.6625413728594,-50000.0,0.3,25.0,9.9,86.0,41.769,28.03,,2.60997561757882,22.1960546181194,1920628293.25,76.03,46.408,56.6230010986328,77.1839981079102,2.062,91.0,8.3,137.2607838,2360.24424866497,1.96974296903126,16.0,2.0,2.0,75.0,547.49,65.2227859617201,0.805
Ghana,GHA,44.593,108.180000305176,64.9993847235651,20.6557088863497,-50000.0,1.8,308.0,50.1,152.0,44.593,44.43,,0.584105257513214,34.713514102152,3254990000.0,11.29,66.611,65.1139984130859,73.1549987792969,3.926,99.0,7.1,126.2016214,94.2260320428945,0.401629020725549,12.7272727272727,14.0,14.0,15.0,1074.54,127.983932495385,0.606
Guinea,GIN,64.207,110.610000610352,59.0102555754517,12.6159856747518,-20000.0,1.5,576.0,102.6,176.0,64.207,71.96,,0.276776091630565,26.062490198745,577590000.0,2.45,135.294,63.7019996643066,63.7879981994629,4.777,47.0,,96.95447755,1.57447481320928,1.76812250574436,21.9298245614035,15.0,15.0,,38.02,49.1108416083347,0.473
"Gambia, The",GMB,39.401,95.3499984741211,59.7826086956522,43.4782608695652,-15436.0,1.8,597.0,55.1,166.0,39.401,48.02,,0.243913465584567,33.9826385538147,64338516.0351372,8.85,78.185,50.3219985961914,67.6569976806641,5.281,92.0,11.9,133.9723898,47.8793080084918,,10.3448275862069,25.0,25.0,,47.17,218.764822134387,0.487
Guinea-Bissau,GNB,57.055,101.169998168945,28.6866998577525,10.6685633001422,-6996.0,3.4,667.0,85.5,361.0,57.055,86.8,,0.169570702987719,29.774702280636,15691197.9520896,4.85,104.823,64.5019989013672,78.8570022583008,4.553,79.0,,78.4851311,2.73501131747683,1.42457857716426,13.7254901960784,8.0,9.0,,16.33,65.0123044096728,0.472
Equatorial Guinea,GNQ,28.354,106.150001525879,10.1247771836007,4.27807486631016,79998.0,7.1,301.0,86.9,286.0,28.354,3.54,,4.5958505736373,53.2406210371101,304827249.5,10.23,155.622,51.0849990844727,59.2639999389648,4.599,53.0,,44.85832828,0.0,1.10036882579998,,33.0,33.0,,3.33,44.9913725490196,0.582
Greece,GRC,21.276,99.7699966430664,47.3390224980605,16.5865011636928,-80000.0,0.2,3.0,4.3,4.7,21.276,16.38,,6.21125028945613,16.2182663806558,3439131879.75518,61.56,7.223,44.6710014343262,59.8880004882813,1.35,99.0,2.5,122.4009386,3695.69375338864,2.55989389632604,18.3333333333333,12.5,12.5,498.0,10986.92,83.4342823894492,0.881
