"Data Source","World Development Indicators",

"Last Updated Date","2022-06-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Czech Republic","CZE","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.73","34.51","37.53","38.1","38.27","39.89","41.66","43.79","45.7","49.05","49.59","50.86","52.64","55.64","57.1","57.98","57.17","",
"Germany","DEU","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","107.06","109.88","112.32","116.69","121.13","118.65","118.41","123.51","122.3","131.14","129.53","","129.95","","",
"Djibouti","DJI","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.84","0.82","0.99","0.96","1.12","2.18","2.82","3.1","4.04","5.11","6.93","8.35","9.58","12.1","13.18","12.33","16.23","",
"Dominica","DMA","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.97","21.7","21.65","18.01","21.57","35.87","30.4","46.31","46.1","49.4","47.39","41.91","39.95","36.28","36.19","34.28","34.28","",
"Denmark","DNK","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.02","68.14","69.89","70.39","68.73","65.18","63.14","61.05","58.71","56.13","53.99","51.82","49.65","49.17","46.82","44.81","42.56","",
"Dominican Republic","DOM","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.27","24.3","24.74","26.47","26.99","27.84","28.73","30.26","31.48","33.32","34.22","36.58","38.33","39.37","36.88","40.73","40.4","",
"Algeria","DZA","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.27","1.5","2.39","3.72","4.2","5.33","5.92","6.1","6.21","6.51","7.61","8.35","8.57","9.13","9.54","9.64","8.9","",
"East Asia & Pacific (excluding high income)","EAP","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.32","10.055","11.73","11.83","14.12","15.11","16.8","19.76","21.895","22.935","24.39","25.64","26.94","27.32","27.935","29.72","",
"Early-demographic dividend","EAR","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.045","4.535","7.22","10.215","10.915","13.86","15.11","16.72","18.73","22.405","22.905","23.685","24.445","26.375","28.47","27.935","28.555","",
"East Asia & Pacific","EAS","Automated teller machines (ATMs) (per 100,000 adults)","FB.ATM.TOTL.P5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.8","30.73","36.97","39.535","15.62","19.89","24.91","31.46","41.2","48.275","52.405","53.62","52.495","53","53.085","54.75","51.85","",
